QuizID,QuizDescription,OutcomeID,OutcomeDescription,Impact,ResultTrait,QuestionID,QuestionDescription,AnswerID,AnswerDescription,IsCorrect
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q1,"What is GDP?",QZ002Q2A4,"Global Demand Pricing",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q2,"What is inflation?",QZ002Q3A5,"The general increase in prices over time",TRUE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q2,"What is inflation?",QZ002Q3A6,"A sudden decrease in employment",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q2,"What is inflation?",QZ002Q3A7,"A government tax on imports",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q2,"What is inflation?",QZ002Q3A8,"The process of printing more money",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q3,"What does a central bank do?",QZ002Q4A10,"Manages stock markets",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q3,"What does a central bank do?",QZ002Q4A11,"Controls all government spending",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q3,"What does a central bank do?",QZ002Q4A12,"Collects taxes from businesses",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q3,"What does a central bank do?",QZ002Q4A9,"Regulates the money supply and interest rates",TRUE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q4,"What is opportunity cost?",QZ002Q5A13,"The loss of potential gain from choosing one option over another",TRUE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q4,"What is opportunity cost?",QZ002Q5A14,"The total cost of running a business",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q4,"What is opportunity cost?",QZ002Q5A15,"The cost of hiring employees",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q4,"What is opportunity cost?",QZ002Q5A16,"The cost of advertising a product",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q5,"What is a recession?",QZ002Q6A17,"A significant decline in economic activity",TRUE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q5,"What is a recession?",QZ002Q6A18,"A period of extreme economic growth",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q5,"What is a recession?",QZ002Q6A19,"A government budget plan",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q5,"What is a recession?",QZ002Q6A20,"A strategy for investing in stocks",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",Failure,"You mix up painkillers and vitamins during a practical exam.","I08","None",,,,
QZ003,"A quiz on essential medical and biological knowledge.",Success,"You can now diagnose fictional characters. Your own health? Who knows.","I13","T019",,,,
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q1,"What is the function of the hippocampus?",QZ003Q2A1,"Memory and learning",TRUE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q1,"What is the function of the hippocampus?",QZ003Q2A2,"Controlling body temperature",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q1,"What is the function of the hippocampus?",QZ003Q2A3,"Regulating digestion",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q1,"What is the function of the hippocampus?",QZ003Q2A4,"Producing adrenaline",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q2,"What is the universal donor blood type?",QZ003Q3A5,"O-negative",TRUE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q2,"What is the universal donor blood type?",QZ003Q3A6,"AB-positive",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q2,"What is the universal donor blood type?",QZ003Q3A7,"A-positive",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q2,"What is the universal donor blood type?",QZ003Q3A8,"B-negative",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q3,"What does “CPR” stand for?",QZ003Q4A10,"Critical Patient Recovery",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q3,"What does “CPR” stand for?",QZ003Q4A11,"Complete Physical Restoration",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q3,"What does “CPR” stand for?",QZ003Q4A12,"Chest Pressure Revival",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q3,"What does “CPR” stand for?",QZ003Q4A9,"Cardiopulmonary Resuscitation",TRUE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q4,"What is the largest organ in the human body?",QZ003Q5A13,"Skin",TRUE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q4,"What is the largest organ in the human body?",QZ003Q5A14,"Liver",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q4,"What is the largest organ in the human body?",QZ003Q5A15,"Heart",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q4,"What is the largest organ in the human body?",QZ003Q5A16,"Lungs",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q5,"What is an EpiPen used for?",QZ003Q6A17,"Treating severe allergic reactions",TRUE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q5,"What is an EpiPen used for?",QZ003Q6A18,"Measuring blood sugar levels",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q5,"What is an EpiPen used for?",QZ003Q6A19,"Stopping nosebleeds",FALSE
QZ003,"A quiz on essential medical and biological knowledge.",,,,,QZ003Q5,"What is an EpiPen used for?",QZ003Q6A20,"Writing down prescriptions",FALSE
QZ004,"A quiz on photography concepts and techniques.",Failure,"You forget to remove the lens cap and wonder why all your photos are black.","I09","None",,,,
QZ004,"A quiz on photography concepts and techniques.",Success,"You now take 100 photos just to pick one.","I14","T020",,,,
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q1,"What is the 'golden hour' in photography?",QZ004Q2A1,"The period shortly after sunrise or before sunset",TRUE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q1,"What is the 'golden hour' in photography?",QZ004Q2A2,"The time right before a storm",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q1,"What is the 'golden hour' in photography?",QZ004Q2A3,"The moment your camera battery dies",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q1,"What is the 'golden hour' in photography?",QZ004Q2A4,"Any time the sun is at its highest",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q2,"What does ISO control in photography?",QZ004Q3A5,"Light sensitivity",TRUE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q2,"What does ISO control in photography?",QZ004Q3A6,"Shutter speed",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q2,"What does ISO control in photography?",QZ004Q3A7,"Camera size",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q2,"What does ISO control in photography?",QZ004Q3A8,"Lens focus distance",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q3,"What is a prime lens?",QZ004Q4A10,"A lens with infinite zoom",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q3,"What is a prime lens?",QZ004Q4A11,"A lens only used in black-and-white photography",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q3,"What is a prime lens?",QZ004Q4A12,"A lens used only in film cameras",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q3,"What is a prime lens?",QZ004Q4A9,"A lens with a fixed focal length",TRUE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q4,"What does RAW format preserve?",QZ004Q5A13,"All uncompressed image data",TRUE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q4,"What does RAW format preserve?",QZ004Q5A14,"Only the colors in an image",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q4,"What does RAW format preserve?",QZ004Q5A15,"The exact angle of the shot",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q4,"What does RAW format preserve?",QZ004Q5A16,"The noise and grain in a photo",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q5,"What is bokeh in photography?",QZ004Q6A17,"The aesthetic blur in out-of-focus areas",TRUE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q5,"What is bokeh in photography?",QZ004Q6A18,"A type of vintage camera",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q5,"What is bokeh in photography?",QZ004Q6A19,"A brand of lenses",FALSE
QZ004,"A quiz on photography concepts and techniques.",,,,,QZ004Q5,"What is bokeh in photography?",QZ004Q6A20,"A new photo editing app",FALSE
QZ005,"A quiz on fundamental legal concepts.",Failure,"You cite fictional TV lawyers in your legal reasoning exam. Your application is swiftly denied.","I10","None",,,,
QZ005,"A quiz on fundamental legal concepts.",Success,"You now correct people’s grammar like it’s a legal requirement.","I01","T021",,,,
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q1,"What is habeas corpus?",QZ005Q2A1,"The right to challenge unlawful detention",TRUE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q1,"What is habeas corpus?",QZ005Q2A2,"A fancy legal term for suing someone",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q1,"What is habeas corpus?",QZ005Q2A3,"A type of courtroom objection",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q1,"What is habeas corpus?",QZ005Q2A4,"A clause about jury duty",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q2,"What is the main purpose of contract law?",QZ005Q3A5,"To regulate legally binding agreements",TRUE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q2,"What is the main purpose of contract law?",QZ005Q3A6,"To make laws more complicated",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q2,"What is the main purpose of contract law?",QZ005Q3A7,"To provide loopholes in legal disputes",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q2,"What is the main purpose of contract law?",QZ005Q3A8,"To make people afraid of signing anything",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q3,"What is double jeopardy?",QZ005Q4A10,"A TV game show category",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q3,"What is double jeopardy?",QZ005Q4A11,"A lawyer’s worst nightmare",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q3,"What is double jeopardy?",QZ005Q4A12,"When you get two speeding tickets in one day",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q3,"What is double jeopardy?",QZ005Q4A9,"Being tried for the same crime twice",TRUE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q4,"What does 'pro bono' mean in legal work?",QZ005Q5A13,"Free legal services",TRUE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q4,"What does 'pro bono' mean in legal work?",QZ005Q5A14,"An expensive lawyer’s fee",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q4,"What does 'pro bono' mean in legal work?",QZ005Q5A15,"A term for courtroom seating",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q4,"What does 'pro bono' mean in legal work?",QZ005Q5A16,"A requirement for law students",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q5,"What does tort law deal with?",QZ005Q6A17,"Civil wrongs and damages",TRUE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q5,"What does tort law deal with?",QZ005Q6A18,"International treaties",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q5,"What does tort law deal with?",QZ005Q6A19,"Criminal punishments",FALSE
QZ005,"A quiz on fundamental legal concepts.",,,,,QZ005Q5,"What does tort law deal with?",QZ005Q6A20,"The structure of a courtroom",FALSE
QZ006,"A quiz on essential communication skills.",Failure,"Your admission interview is so awkward and incoherent that they assume you're speaking in code.","I11","None",,,,
QZ006,"A quiz on essential communication skills.",Success,""You can now make any topic sound dramatic, even toast."","I02","T022",,,,
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q1,"What is the main purpose of communication?",QZ006Q2A1,"To share information and ideas",TRUE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q1,"What is the main purpose of communication?",QZ006Q2A2,"To win every argument",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q1,"What is the main purpose of communication?",QZ006Q2A3,"To avoid talking to people",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q1,"What is the main purpose of communication?",QZ006Q2A4,"To make others agree with you",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q2,"What is nonverbal communication?",QZ006Q3A5,"Expressing ideas without words",TRUE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q2,"What is nonverbal communication?",QZ006Q3A6,"Using only text messages",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q2,"What is nonverbal communication?",QZ006Q3A7,"Talking loudly for emphasis",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q2,"What is nonverbal communication?",QZ006Q3A8,"A secret language used by spies",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q3,"What does active listening involve?",QZ006Q4A10,"Waiting for your turn to speak",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q3,"What does active listening involve?",QZ006Q4A11,"Nodding while thinking about lunch",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q3,"What does active listening involve?",QZ006Q4A12,"Repeating what the speaker says word for word",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q3,"What does active listening involve?",QZ006Q4A9,"Giving full attention and responding thoughtfully",TRUE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q4,"What is the difference between verbal and written communication?",QZ006Q5A13,""Verbal is spoken, written is recorded"",TRUE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q4,"What is the difference between verbal and written communication?",QZ006Q5A14,""Verbal is always formal, written is not"",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q4,"What is the difference between verbal and written communication?",QZ006Q5A15,"Written communication is only used in business",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q4,"What is the difference between verbal and written communication?",QZ006Q5A16,"Verbal communication is always better",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q5,"What is the main goal of public speaking?",QZ006Q6A17,""To inform, persuade, or entertain an audience"",TRUE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q5,"What is the main goal of public speaking?",QZ006Q6A18,"To sound smart regardless of the topic",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q5,"What is the main goal of public speaking?",QZ006Q6A19,"To use as many big words as possible",FALSE
QZ006,"A quiz on essential communication skills.",,,,,QZ006Q5,"What is the main goal of public speaking?",QZ006Q6A20,"To make the audience agree with you",FALSE
QZ007,"A quiz on history and world events.",Failure,"You mix up Napoleon and Shakespeare in your exam. The result is not very amusing.","I12","None",,,,
QZ007,"A quiz on history and world events.",Success,""You can name five wars off the top of your head, but forget where you put your keys."","I03","T023",,,,
QZ007,"A quiz on history and world events.",,,,,QZ007Q1,"What was the primary cause of World War I?",QZ007Q2A1,"A complex web of alliances and tensions",TRUE
QZ007,"A quiz on history and world events.",,,,,QZ007Q1,"What was the primary cause of World War I?",QZ007Q2A2,"A disagreement over pizza toppings",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q1,"What was the primary cause of World War I?",QZ007Q2A3,"A single bad election",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q1,"What was the primary cause of World War I?",QZ007Q2A4,"The rise of the internet",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q2,"Who was the first President of the United States?",QZ007Q3A5,"George Washington",TRUE
QZ007,"A quiz on history and world events.",,,,,QZ007Q2,"Who was the first President of the United States?",QZ007Q3A6,"Abraham Lincoln",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q2,"Who was the first President of the United States?",QZ007Q3A7,"Thomas Jefferson",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q2,"Who was the first President of the United States?",QZ007Q3A8,"Alexander Hamilton",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q3,"What was the Renaissance?",QZ007Q4A10,"A medieval military strategy",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q3,"What was the Renaissance?",QZ007Q4A11,"The first global trade agreement",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q3,"What was the Renaissance?",QZ007Q4A12,"A type of ancient government",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q3,"What was the Renaissance?",QZ007Q4A9,"A cultural rebirth in Europe",TRUE
QZ007,"A quiz on history and world events.",,,,,QZ007Q4,"What was the purpose of the Great Wall of China?",QZ007Q5A13,"To protect against invasions",TRUE
QZ007,"A quiz on history and world events.",,,,,QZ007Q4,"What was the purpose of the Great Wall of China?",QZ007Q5A14,"To control trade routes",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q4,"What was the purpose of the Great Wall of China?",QZ007Q5A15,"To mark the borders of the empire",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q4,"What was the purpose of the Great Wall of China?",QZ007Q5A16,"To serve as a giant art project",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q5,"What event marked the start of the French Revolution?",QZ007Q6A17,"The Storming of the Bastille",TRUE
QZ007,"A quiz on history and world events.",,,,,QZ007Q5,"What event marked the start of the French Revolution?",QZ007Q6A18,"The signing of the Declaration of Independence",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q5,"What event marked the start of the French Revolution?",QZ007Q6A19,"The fall of the Roman Empire",FALSE
QZ007,"A quiz on history and world events.",,,,,QZ007Q5,"What event marked the start of the French Revolution?",QZ007Q6A20,"The construction of the Eiffel Tower",FALSE
QZ008,"A quiz on psychology and human behavior.",Failure,""You try to psychoanalyze your examiner, and they recommend you see a therapist."","I13","None",,,,
QZ008,"A quiz on psychology and human behavior.",Success,"You now diagnose your pet’s behavior using Freudian theory.","I04","T024",,,,
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q1,"What is classical conditioning?",QZ008Q2A1,"Learning through association",TRUE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q1,"What is classical conditioning?",QZ008Q2A2,"Learning through trial and error",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q1,"What is classical conditioning?",QZ008Q2A3,"Learning by memorization",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q1,"What is classical conditioning?",QZ008Q2A4,"Learning through punishment",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q2,"What part of the brain controls emotions?",QZ008Q3A5,"The amygdala",TRUE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q2,"What part of the brain controls emotions?",QZ008Q3A6,"The frontal lobe",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q2,"What part of the brain controls emotions?",QZ008Q3A7,"The cerebellum",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q2,"What part of the brain controls emotions?",QZ008Q3A8,"The hippocampus",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q3,"What is cognitive dissonance?",QZ008Q4A10,"A rare brain disorder",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q3,"What is cognitive dissonance?",QZ008Q4A11,"A type of memory loss",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q3,"What is cognitive dissonance?",QZ008Q4A12,"The ability to read minds",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q3,"What is cognitive dissonance?",QZ008Q4A9,"The discomfort of holding conflicting beliefs",TRUE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q4,"What is the placebo effect?",QZ008Q5A13,"When a fake treatment causes real effects",TRUE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q4,"What is the placebo effect?",QZ008Q5A14,"A form of hypnosis",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q4,"What is the placebo effect?",QZ008Q5A15,"A memory-related disorder",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q4,"What is the placebo effect?",QZ008Q5A16,"The study of personality",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q5,"What is Maslow’s hierarchy of needs?",QZ008Q6A17,"A psychological theory about human motivation",TRUE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q5,"What is Maslow’s hierarchy of needs?",QZ008Q6A18,"A chart of personality types",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q5,"What is Maslow’s hierarchy of needs?",QZ008Q6A19,"A way to rank intelligence",FALSE
QZ008,"A quiz on psychology and human behavior.",,,,,QZ008Q5,"What is Maslow’s hierarchy of needs?",QZ008Q6A20,"A technique for solving problems",FALSE
QZ009,"A quiz on biology and life sciences.",Failure,"You fail to distinguish between mitosis and a midlife crisis in the written test.","I14","None",,,,
QZ009,"A quiz on biology and life sciences.",Success,"You start using scientific names for common plants. Nobody asks.","I05","T025",,,,
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q1,"What is the powerhouse of the cell?",QZ009Q2A1,"The mitochondria",TRUE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q1,"What is the powerhouse of the cell?",QZ009Q2A2,"The nucleus",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q1,"What is the powerhouse of the cell?",QZ009Q2A3,"The ribosome",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q1,"What is the powerhouse of the cell?",QZ009Q2A4,"The cell membrane",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q2,"What process allows plants to make their own food?",QZ009Q3A5,"Photosynthesis",TRUE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q2,"What process allows plants to make their own food?",QZ009Q3A6,"Respiration",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q2,"What process allows plants to make their own food?",QZ009Q3A7,"Fermentation",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q2,"What process allows plants to make their own food?",QZ009Q3A8,"Digestion",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q3,"What is DNA?",QZ009Q4A10,"A type of bacteria",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q3,"What is DNA?",QZ009Q4A11,"A new social media app",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q3,"What is DNA?",QZ009Q4A12,"A part of the nervous system",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q3,"What is DNA?",QZ009Q4A9,"The molecule that carries genetic information",TRUE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q4,"What is the function of the heart?",QZ009Q5A13,"To pump blood throughout the body",TRUE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q4,"What is the function of the heart?",QZ009Q5A14,"To process emotions",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q4,"What is the function of the heart?",QZ009Q5A15,"To regulate body temperature",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q4,"What is the function of the heart?",QZ009Q5A16,"To store oxygen",FALSE
QZ009,"A quiz on biology and life sciences.",,,,,QZ009Q5,"What is the main purpose of the respiratory system?",QZ009Q6A17,"To exchange oxygen and carbon dioxide",TRUE
