ScenarioID,ScenarioDescription,RequiredTrait,AgeRange,ChoiceID,ChoiceDescription,RequiredTrait,QuizID,OutcomeID,OutcomeDescription,Impact,ResultTrait
SC006,"Ah, the great outdoors! You’re surrounded by plants, bugs, and the occasional suspicious-looking squirrel. Your parents are busy doing 'gardening stuff,' so it’s just you, nature, and your boundless curiosity. What do you do?","None","AGE8",SC006C1,"Try to dig your own hole, even if it’s a mess and you’re probably going to fall in","None","None",SC006C2O1,"You’ve accidentally uprooted a rosebush and got blisters on your tiny hands, but hey, your parents compliment what a Hard Worker you are for 'helping'","I09","T007"
SC006,"Ah, the great outdoors! You’re surrounded by plants, bugs, and the occasional suspicious-looking squirrel. Your parents are busy doing 'gardening stuff,' so it’s just you, nature, and your boundless curiosity. What do you do?","None","AGE8",SC006C2,"Run around the garden, picking flowers and getting in everyone’s way","None","None",SC006C3O2,"You’ve embraced the call of the wild. No one gets their work done, but you’re a Free Spirit—untamed and unstoppable!","I10","T008"
SC006,"Ah, the great outdoors! You’re surrounded by plants, bugs, and the occasional suspicious-looking squirrel. Your parents are busy doing 'gardening stuff,' so it’s just you, nature, and your boundless curiosity. What do you do?","None","AGE8",SC006C3,"Ask your parents 47 questions about why grass tastes yucky and why the sky doesn't rain meatballs","None","None",SC006C4O3,"Your parents are exhausted with the Curious Learner in you. They wonder if you're going to become a future scientist or annoying trivia champion.","I11","T013"
SC006,"Ah, the great outdoors! You’re surrounded by plants, bugs, and the occasional suspicious-looking squirrel. Your parents are busy doing 'gardening stuff,' so it’s just you, nature, and your boundless curiosity. What do you do?","None","AGE8",SC006C4,"Sit with Grandpa on the porch and listen to his stories about 'the good old days'","None","None",SC006C5O4,"You’ve absorbed Grandpa’s wisdom like a sponge. The Old Soul in you is wise beyond your years and probably destined to yell at kids to get off your lawn someday","I12","T015"
SC007,"It’s the annual community fair! There’s cotton candy, a suspiciously wobbly Ferris wheel, and a guy selling 'authentic' alien artifacts. What do you do to make the most of this chaos?","None","AGE8",SC007C1,"Try to console a kid who just dropped their ice cream and is now crying like the world is ending","None","None",SC007C2O1,"In your heart, you are the hero of the fair, sharing your cotton candy with the downtrodden and earning the trait Virtuous Advocate.","I13","T009"
SC007,"It’s the annual community fair! There’s cotton candy, a suspiciously wobbly Ferris wheel, and a guy selling 'authentic' alien artifacts. What do you do to make the most of this chaos?","None","AGE8",SC007C2,"Convince a group of kids to play 'Who Can Eat the Most Cotton Candy Without Throwing Up'","None","None",SC007C3O2,"You’re now all sticky and slightly nauseous. At least you know you're a Smooth Talker and convincing people to do stupid things is a skill that pays off (eventually)","I14","T0010"
SC007,"It’s the annual community fair! There’s cotton candy, a suspiciously wobbly Ferris wheel, and a guy selling 'authentic' alien artifacts. What do you do to make the most of this chaos?","None","AGE8",SC007C3,"Ask the alien artifact guy how his 'totally real' spaceship works","None","None",SC007C4O3,"You’ve stumped him with your questions, but you’ve gained the trait Curious Learner. Future scientist or conspiracy theorist, the choice is yours!","I01","T013"
SC007,"It’s the annual community fair! There’s cotton candy, a suspiciously wobbly Ferris wheel, and a guy selling 'authentic' alien artifacts. What do you do to make the most of this chaos?","None","AGE8",SC007C4,"Make friends with everyone, from the clown to the grumpy old lady running the pie contest","None","None",SC007C5O4,"You hear someone calling you the unofficial mayor of the fair. Some think you're nosy, but you're just being a Social Butterfly.","I02","T014"
SC008,"You’re in a cramped apartment with peeling wallpaper and a fridge that hums like it’s trying to communicate. Your parents are doing their best, but it’s up to you to make the most of this mess. What do you do?","None","AGE8",SC008C1,"Convince your sibling to trade their dessert for your 'magic rock' (it’s just a rock)","None","None",SC008C2O1,"You’ve pulled off the heist of the century: rock candies for literal rocks! You’re an Opportunist—future entrepreneur or con artist, the world is your playground!","I03","T011"
SC008,"You’re in a cramped apartment with peeling wallpaper and a fridge that hums like it’s trying to communicate. Your parents are doing their best, but it’s up to you to make the most of this mess. What do you do?","None","AGE8",SC008C2,"Scrounge up some loose change and buy a bag of chips to share with your family","None","None",SC008C3O2,"You’ve turned 75 cents into a feast. You’re a Survivor—because nothing says 'resourceful' like turning pocket lint into dinner.","I04","T012"
SC008,"You’re in a cramped apartment with peeling wallpaper and a fridge that hums like it’s trying to communicate. Your parents are doing their best, but it’s up to you to make the most of this mess. What do you do?","None","AGE8",SC008C3,"Stare at the wallpaper and fridge like they owe you answers","None","None",SC008C4O3,"They don’t. But you’ve unlocked the trait Old Soul—wise enough to know life’s a scam, but too young to do anything about it","I05","T015"
SC008,"You’re in a cramped apartment with peeling wallpaper and a fridge that hums like it’s trying to communicate. Your parents are doing their best, but it’s up to you to make the most of this mess. What do you do?","None","AGE8",SC008C4,"Watch your parents argue about bills and then suggest a 'genius' plan to save money","None","None",SC008C5O4,"Your plan involves selling 'artisanal dirt,' but hey, you’re thinking outside the box, and that's what a Mastermind does, masterfully minding or mindfully master, either of these.","I06","T016"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C1,"Attempt to scale the walls using pure upper body strength.","None","None",SC009C2O1,"You hoist yourself up and tumble to freedom. A legend is born.","I01","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C1,"Attempt to scale the walls using pure upper body strength.","None","None",SC009C2O2,"Gravity reminds you who’s boss. You land on your diapered butt, dignity in tatters.","I11","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C2,"Scream until the captors (parents) negotiate terms.","None","None",SC009C3O3,"They cave. You are lifted out like royalty, proving the power of vocal diplomacy.","I12","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C2,"Scream until the captors (parents) negotiate terms.","None","None",SC009C3O4,"They ignore you. Negotiations have failed. Time for Plan B (more screaming).","I03","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C3,"Feign unconsciousness and hope they panic and lift you out.","None","None",SC009C4O5,"It works too well! You get an all-access cuddle pass and special snacks. Genius.","I04","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C3,"Feign unconsciousness and hope they panic and lift you out.","None","None",SC009C4O6,"They see right through your act. Now they’re just watching to see how long you’ll keep it up.","I05","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C4,"Accept your fate and start a new civilization inside.","None","None",SC009C5O7,"You arrange toys into a fortress. This is your kingdom now.","I06","None"
SC009,"Your parents have foolishly placed you in a playpen. You see an opening. What do you do?","None","AGE7",SC009C4,"Accept your fate and start a new civilization inside.","None","None",SC009C5O8,"A teddy bear coup leads to unrest. The kingdom collapses in under five minutes.","I07","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C1,"Slap the spoon out of existence.","None","None",SC010C2O1,"Direct hit! The spoon is gone, and the adults are too shocked to react. Victory.","I08","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C1,"Slap the spoon out of existence.","None","None",SC010C2O2,"The spoon lands on your forehead. Now you have a mashed pea crown.","I09","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C2,"Attempt to eat the spoon instead.","None","None",SC010C3O3,"They panic and swap it out for something tastier. You have hacked the system.","I02","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C2,"Attempt to eat the spoon instead.","None","None",SC010C3O4,"The cold, hard truth: spoons are not food. Disappointment is immense.","I01","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C3,"Stare at it like a villain planning revenge.","None","None",SC010C4O5,"The adults get unnerved and replace it with something else. Mind games: effective.","I02","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C3,"Stare at it like a villain planning revenge.","None","None",SC010C4O6,"They just stare back. Now it’s a battle of wills, and you’re losing.","I03","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C4,"Shove it into your mouth to see what happens.","None","None",SC010C5O7,"Not bad, actually. You’re rewarded with enthusiastic praise and maybe even a cookie.","I04","None"
SC010,"Mealtime arrives, and you’re presented with something green and mushy. What’s the move?","None","AGE7",SC010C4,"Shove it into your mouth to see what happens.","None","None",SC010C5O8,"Immediate regret. The taste haunts you. Trust is broken.","I05","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C1,"Crawl toward it like it’s your life’s purpose.","None","None",SC011C2O1,"You make it to the outlet safely and revel in your victory but you forget what you want to do with the outlet.","I06","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C1,"Crawl toward it like it’s your life’s purpose.","None","None",SC011C2O2,"An adult intercepts you just before you reach it, sparing you from disaster.","I07","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C2,"Make eye contact with an adult, then touch it slowly for dramatic effect.","None","None",SC011C3O3,"The adult freaks out and rushes to stop you, but you win the attention game.","I08","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C2,"Make eye contact with an adult, then touch it slowly for dramatic effect.","None","None",SC011C3O4,"The adult misinterprets your “slow motion” approach and thinks you’re genuinely going for it.","I09","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C3,"Lick your hand and go for maximum efficiency.","None","None",SC011C4O5,"You have a weird moment of genius and somehow avoid electrocution, but the adults are now extra cautious around you.","I03","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C3,"Lick your hand and go for maximum efficiency.","None","None",SC011C4O6,"A jolt hits, but it’s mild—enough to make you cry, but not enough to leave lasting damage.","I01","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C4,"Use telepathic baby powers to see if it responds first.","None","None",SC011C5O7,"You sit there in intense concentration, and the outlet seems to “wink” back at you (or maybe it’s just a flickering light).","I02","None"
SC011,"You spot an electrical outlet across the room. It gleams in the light, tempting you like a forbidden treasure. How do you respond to this thrilling sight?","None","AGE7",SC011C4,"Use telepathic baby powers to see if it responds first.","None","None",SC011C5O8,"The outlet remains unresponsive, and you lose focus, causing a tantrum.","I03","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C1,"Stare them down in complete silence.","None","None",SC012C2O1,"Your unwavering gaze intimidates the nanny, and they step back in confusion.","I04","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C1,"Stare them down in complete silence.","None","None",SC012C2O2,"The nanny doesn’t break eye contact, and you start to feel uncomfortable.","I05","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C2,"Demand they carry you everywhere like royalty.","None","None",SC012C3O3,"They comply, and you enjoy being the center of attention, feeling like a true monarch in their arms.","I06","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C2,"Demand they carry you everywhere like royalty.","None","None",SC012C3O4,"The nanny doesn’t comply, giving you a disapproving look and suggesting you walk on your own.","I07","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C3,"Throw a tantrum just to see how they react.","None","None",SC012C4O5,"The nanny’s eyes widen in fear, and they quickly try to calm you down with a treat.","I08","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C3,"Throw a tantrum just to see how they react.","None","None",SC012C4O6,"The nanny remains calm and doesn’t budge, even when your tears flow.","I09","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C4,"Adopt them as your new favorite adult immediately.","None","None",SC012C5O7,"The nanny is delighted by your affection and starts showering you with attention and care.","I04","None"
SC012,"Your parents introduce you to a new nanny. How do you assert your dominance?","None","AGE7",SC012C4,"Adopt them as your new favorite adult immediately.","None","None",SC012C5O8,"They’re not quite ready to be your best friend yet, and they just smile awkwardly.","I10","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C1,"Shove it in your mouth because that’s what you do with everything.","None","None",SC013C2O1,"It’s squishy and oddly satisfying. They won’t take it away now.","I14","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C1,"Shove it in your mouth because that’s what you do with everything.","None","None",SC013C2O2,"It’s not as tasty as you thought. You’ve learned a valuable lesson.","I13","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C2,"Throw it across the room and watch it land with dramatic flair.","None","None",SC013C3O3,"The toy lands perfectly, and they give you a gold star.","I04","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C2,"Throw it across the room and watch it land with dramatic flair.","None","None",SC013C3O4,"It bounces awkwardly and lands in a weird spot. They’re not impressed.","I05","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C3,"Treat it like a prop and pretend it’s your pet.","None","None",SC013C4O5,"You create an entire backstory for your new pet and make it your sidekick.","I06","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C3,"Treat it like a prop and pretend it’s your pet.","None","None",SC013C4O6,"The toy is unimpressed by your efforts and doesn’t play along.","I07","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C4,"Stare at it for 30 minutes, trying to figure out its deeper meaning.","None","None",SC013C5O7,"You’re deep in thought, and everyone is impressed by your wisdom.","I08","None"
SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","None","AGE2",SC013C4,"Stare at it for 30 minutes, trying to figure out its deeper meaning.","None","None",SC013C5O8,"It’s just a toy, but you’ve gotten really into it.","I09","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C1,"Refuse to sit on the potty and act like it’s beneath you.","None","None",SC014C2O1,"The adults start running after you, offering rewards, and you act like you’re the one calling the shots.","I05","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C1,"Refuse to sit on the potty and act like it’s beneath you.","None","None",SC014C2O2,"You’re ignored for a bit, but eventually, they drag you to the potty anyway.","I01","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C2,"Try to sit on the potty, but only because everyone’s watching.","None","None",SC014C3O3,"You perform your potty routine like a tiny actor on stage, and everyone applauds.","I02","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C2,"Try to sit on the potty, but only because everyone’s watching.","None","None",SC014C3O4,"You sit, but nothing happens, and now you’re just awkwardly waiting.","I03","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C3,"Go for the 'accident' route and make them come to you instead.","None","None",SC014C4O5,"You’ve outsmarted them; they rush to clean up after you, promising you endless treats.","I04","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C3,"Go for the 'accident' route and make them come to you instead.","None","None",SC014C4O6,"They catch on immediately and give you a disapproving look, but offer you a new potty-training reward anyway.","I05","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C4,"Announce loudly that you are 'ready' and proceed to sit, but only to prove a point.","None","None",SC014C5O7,"You succeed at pretending to be the mature, potty-trained child they wanted, and they’re impressed by your acting skills.","I06","None"
SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","None","AGE2",SC014C4,"Announce loudly that you are 'ready' and proceed to sit, but only to prove a point.","None","None",SC014C5O8,"The whole charade ends with nothing happening, and they rush you to bed.","I07","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C1,"Attempt to solve every question seriously.","None","None",SC021C2O1,"You get a decent grade but stress yourself out.","I05","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C1,"Attempt to solve every question seriously.","None","None",SC021C2O2,"You overthink it and accidentally prove calculus wrong. The teacher is not pleased.","I06","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C2,"Copy from the smartest student.","None","None",SC021C3O3,"You copy wrong and fail.","I07","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C2,"Copy from the smartest student.","None","None",SC021C3O4,"You pass, but the student demands payment.","I08","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C3,"Write nonsense and hope for pity points.","None","None",SC021C4O5,"The teacher finds it hilarious and gives you a pity C.","I09","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C3,"Write nonsense and hope for pity points.","None","None",SC021C4O6,"The teacher is not amused. You get an F.","I10","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C4,"Walk out and declare math a social construct.","None","None",SC021C5O7,"You become a legend. People admire your boldness.","I11","None"
SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","None","AGE3",SC021C4,"Walk out and declare math a social construct.","None","None",SC021C5O8,"The principal calls your parents. You are grounded.","I12","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C1,"Convince them to let you watch your show.","None","None",SC022C2O1,"You win, but they plot revenge.","I13","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C1,"Convince them to let you watch your show.","None","None",SC022C2O2,"They refuse. You sulk.","I14","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C2,"Engage in a full-scale remote war.","None","None",SC022C3O3,"The battle is fierce. You win but take minor damage.","I01","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C2,"Engage in a full-scale remote war.","None","None",SC022C3O4,"You lose and end up bruised.","I02","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C3,"Bribe them with snacks.","None","None",SC022C4O5,"The bribe works. You watch your show but lose all your snacks.","I03","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C3,"Bribe them with snacks.","None","None",SC022C4O6,"They take the bribe and still change the channel.","I04","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C4,"Surrender and watch their show.","None","None",SC022C5O7,"You get into their show and actually enjoy it.","I05","None"
SC022,"A major event is on TV, but so is your sibling’s favorite show. There’s only one remote.","None","AGE3",SC022C4,"Surrender and watch their show.","None","None",SC022C5O8,"It’s unbearable. You regret everything.","I06","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C1,"Do all the work yourself to avoid disaster.","None","None",SC023C2O1,"You pull an all-nighter and finish everything. Your team takes credit.","I07","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C1,"Do all the work yourself to avoid disaster.","None","None",SC023C2O2,"Your hard work pays off, and the teacher praises you.","I08","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C2,"Try to motivate them with threats and speeches.","None","None",SC023C3O3,"The group listens and actually does their part. Success!","I09","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C2,"Try to motivate them with threats and speeches.","None","None",SC023C3O4,"They ignore you, and you end up arguing. Project flops.","I10","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C3,"Assign yourself the easiest part and hope for the best.","None","None",SC023C4O5,"The project is a disaster, but at least you’re well-rested.","I11","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C3,"Assign yourself the easiest part and hope for the best.","None","None",SC023C4O6,"Somehow, someone does the work, and you scrape by.","I12","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C4,"Bribe the smartest kid in class to help.","None","None",SC023C5O7,"The bribe works, and the project is a masterpiece. Your wallet, however, is empty.","I13","None"
SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","None","AGE3",SC023C4,"Bribe the smartest kid in class to help.","None","None",SC023C5O8,"The smart kid refuses, and you still lose your money.","I14","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C1,"Ask your crush to the dance.","None","None",SC024C2O1,"They say yes! You feel like a legend.","I01","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C1,"Ask your crush to the dance.","None","None",SC024C2O2,"They say no… in front of everyone. Ouch.","I02","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C2,"Go with friends and have fun.","None","None",SC024C3O3,"You and your friends have a blast, no pressure.","I03","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C2,"Go with friends and have fun.","None","None",SC024C3O4,"Everyone ditches you at the last second.","I04","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C3,"Fake a family emergency to skip it.","None","None",SC024C4O5,"You successfully skip, but feel like you missed out.","I05","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C3,"Fake a family emergency to skip it.","None","None",SC024C4O6,"Your family plays along, and you get a cozy movie night instead.","I06","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C4,"Show up in the most ridiculous outfit possible.","None","None",SC024C5O7,"Your outfit becomes legendary, and people admire your confidence.","I07","None"
SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","None","AGE3",SC024C4,"Show up in the most ridiculous outfit possible.","None","None",SC024C5O8,"People laugh at you the whole night.","I08","None"
SC025,"Your friend dares you to do something ridiculous for a chance at internet fame. The camera is rolling—what do you do?","None","AGE3",SC025C1,"Attempt an extreme stunt.","None","None",SC025C2O1,"You pull it off! The video goes viral, and people love it.","I09","None"
SC025,"Your friend dares you to do something ridiculous for a chance at internet fame. The camera is rolling—what do you do?","None","AGE3",SC025C1,"Attempt an extreme stunt.","None","None",SC025C2O2,"You fail miserably and end up in a 'fails compilation.'","I10","None"
