Key,Name,Description,
"T051","Award-Winning Photojournalist","Your lens captures history, your photos inspire change, and your passport is as battered as your camera bag."
"T052","Paralegal","Bury yourself in legal paperwork, fetch coffee for lawyers, and dream of a future where you’re the one billing $500 an hour."
"T053","Senior Lawyer","Argue cases, negotiate deals, and develop an uncanny ability to find loopholes in everyday life."
"T054","Supreme Court Justice","Wield the power of the law, make history-altering rulings, and try not to fall asleep during lengthy hearings."
"T055","Foreign Service Officer","Travel the world, navigate diplomacy, and attend fancy receptions where the food is always cold."
"T056","Ambassador","Smooth over international tensions, make powerful connections, and give speeches that say everything and nothing at once."
"T057","Secretary of State","Shape global policy, negotiate treaties, and pretend to enjoy 18-hour flights in economy class."
"T058","Collector","Hunt for rare artifacts, haggle with eccentric sellers, and make your home look like a museum exhibit."
"T059","Renowned Dealer","Trade in history, assess fakes with a single glance, and develop an unhealthy obsession with auction houses."
"T060","Museum Founder","Preserve priceless artifacts, educate the masses, and make sure your museum gift shop turns a tidy profit."
"T061","Counseling Intern","Listen, take notes, and try not to let your own existential crises interfere with your sessions."
"T062","Licensed Therapist","Help others navigate their struggles while subtly resisting the urge to diagnose your friends."
"T063","Celebrity Therapist","Coach the rich and famous, sign ironclad NDAs, and remind yourself that money doesn’t buy happiness—but it does buy therapy."
"T064","Research Assistant","Spend hours in labs, handle endless data, and learn that 'groundbreaking discovery' is just another way to say ‘publish or perish.’"
"T065","Lead Researcher","Secure grants, conduct groundbreaking studies, and make scientific breakthroughs that will one day be misquoted on social media."
"T066","Nobel Prize-Winning Scientist","Change the world, redefine your field, and try not to let the sudden fame go to your head."
"T067","Event Assistant","Coordinate seating charts, handle last-minute disasters, and make sure nobody's uncle gets too drunk at weddings."
"T068","Senior Planner","Design flawless events, wrangle demanding clients, and develop an instinct for which flowers scream ‘luxury.’"
"T069","Luxury Event Mogul","Orchestrate extravagant galas, cater to the ultra-rich, and ensure that every napkin fold is absolutely perfect."
"T070","Graduate Student","Drown in research, live off instant noodles, and convince yourself that academia is worth it."
"T071","Published Thinker","Contribute deep thoughts to academic journals, attend conferences, and battle imposter syndrome daily."
"T072","Iconic Thought Leader","Your words shape intellectual discourse, your books are quoted, and your beard (real or metaphorical) is legendary."
"T073","Junior Detective","Crack small cases, drink too much coffee, and dramatically remove sunglasses like you're in a TV show."
"T074","Lead Investigator","Solve complex crimes, gather evidence, and develop an impressive collection of trench coats."
"T075","Chief of Police","Command an entire force, fight crime, and navigate enough bureaucracy to make a lawyer cry."
"T076","Startup Founder","Pitch ideas, bootstrap operations, and survive on enthusiasm, caffeine, and sheer willpower."
"T077","CEO","Lead your company to success, balance profit margins, and pretend you still have time for hobbies."
"T078","Industry Tycoon","Dominate the market, amass a fortune, and realize that work-life balance is just a myth."
"T079","Junior Developer","Fix bugs, write code, and realize that debugging is 90% of your job."
"T080","Lead Engineer","Architect entire systems, lead teams, and pray that nothing breaks at 2 AM."
"T081","Tech Mogul","Innovate, disrupt, and accumulate enough wealth to buy your own private island."
"T082","Micro-Influencer","Chase followers, curate aesthetics, and convince yourself that hashtags are a legitimate strategy."
"T083","Established Influencer","Land sponsorships, perfect your selfie angles, and become fluent in the language of brand deals."
"T084","Global Social Media Icon","Shape trends, redefine culture, and build an empire on the power of a well-timed tweet."
"T085","Emerging Artist","Create visionary works, struggle for recognition, and pretend that ‘starving artist’ is a lifestyle choice."
"T086","Established Artist","Have your art displayed in galleries, get critical acclaim, and politely ignore commissions that pay in 'exposure.'"
"T087","Legendary Master","Achieve immortality through your creations, inspire generations, and sell one painting for an amount that makes your past self weep."
"T088","Blog Writer / Journalist","Write endlessly, chase leads, and pray that someone actually reads your work."
"T089","Published Author","See your name in print, sign books for fans, and realize that writer’s block is your true nemesis."
"T090","Pulitzer/Nobel Laureate","Change the world with your words, receive prestigious awards, and pretend you’re not crying during your acceptance speech."
"T091","Local Advocate","Champion causes, rally communities, and develop an instinct for sensing corruption."
"T092","National Leader","Influence policies, inspire movements, and try not to let the pressure break you."
"T093","Global Humanitarian","Change lives on an international scale, make history, and become the person everyone claims inspired them."
"T094","Hustler","Make moves, stack cash, and embrace the grind—sleep is optional."
"T095","Jack Of All Trades","Master multiple skills, chase opportunities, and live by the motto ‘why not both?’"
"T096","Master Of All","Achieve legendary status in every field you touch. Is there anything you *can’t* do?"
"T097","Executive Secretary","Manage schedules, organize meetings, and develop an uncanny ability to predict your boss’s (AKA your parent) next crisis."
"T098","Senior Executive","Climb the corporate ladder, master office politics, and wield a terrifyingly complex spreadsheet with ease."
"T099","Board Chairman","Sit at the top, make billion-dollar decisions, and pretend board meetings aren’t just expensive naps."
"T100","Farmhand","Rise with the sun, work the land, and learn that cows don’t take days off."
"T101","Farm Owner","Run your own farm, manage crops and livestock, and realize that Mother Nature has no chill."
"T102","Farm Tycoon","Expand your empire, feed nations, and finally afford that tractor you always dreamed of."
"T103","Instructor","Teach eager minds, grade endless papers, and question your life choices at parent-teacher conferences."
"T104","Lecturer","Deliver inspiring lectures, balance research and teaching, and perfect the art of dodging late assignments."
"T105","Professor","Earn tenure, shape young minds, and wield the power of pop quizzes with impunity."
"T106","Apprentice","Learn from the masters, hone your craft, and get used to your work being ‘not quite right’ yet."
"T107","Master Craftsman","Turn raw materials into works of art, perfect your trade, and scoff at anything mass-produced."
"T108","World-Famous Artisan","Command top dollar for your handcrafted masterpieces and leave a legacy of unmatched skill."
